ctime,ba1_cemscom_rin_1_meas,ba1_cems_01_03_rtd,ba1_wincc_l1hlb12mc001_eng_units,ba1_wincc_l1hlb12cf901_eng_units,ba1_wincc_l1hlb12an001_eng_units,ba1_dcs_110113_speed_ro01,ba1_dcs_110113_04_pnt,ba1_dcs_610713_st3_io01,ba1_dcs_610713_st4_io01,ba1_wincc_l1hdk10ty100_eng_units,ba1_dcs_110104_08_pnt,ba1_cems_01_02_rtd,ba1_cemscom_rin_39_meas,ba1_wincc_l1hla32ct101_eng_units,ba1_wincc_l1hlb12cp101_eng_units,ba1_wincc_l1hlb11cp101_eng_units,ba1_wincc_l1hlb11cf901_eng_units,ba1_wincc_l1hlb11an001_eng_units,ba1_dcs_110107_03_pnt,ba1_dcs_610613_06_pnt,ba1_wincc_l1hha10ct101_eng_units,ba1_wincc_l1hdb11cp120_eng_units,ba1_wincc_l1hla41aa011_eng_units,ba1_dcs_110105_04_pnt,ba1_wincc_l1hdb11cp110_eng_units,ba1_wincc_l1hdb12cp110_eng_units,ba1_wincc_l1hlb11mc001_eng_units,ba1_dcs_110104_03_pnt,ba1_wincc_l1hdb12cp120_eng_units,ba1_wincc_l1output_speed_grate5,ba1_gf_d_fi104,ba1_cems_01_04_rtd,ba1_scr001_xm5102ai_meas,ba1_sncr_tpur_p1_run,ba1_dcs_110105_02_pnt,ba1_sncr_tpur_p2_run,ba1_dcs_610613_07_pnt,ba1_cemscom_rin_5_meas,ba1_wincc_l1hlb17an001_eng_units,ba1_dcs_610621_co2_ro01,ba1_dcs_110107_07_pnt,ba1_scr001_tt5104_meas,ba1_dcs_110111_02_pnt,ba1_wincc_l1hlb13cp101_eng_units,ba1_dcs_110112_04_pnt,ba1_wincc_l1hla17cf101_eng_units,ba1_wincc_l1hlb13an001_eng_units,ba1_scr001_tt5107_meas,ba1_sncr_s4puair_p_pv,ba1_wincc_l1hlb13cf901_eng_units
2021/6/12 0:01,65.5,82.41300201,78.94303894,23676.08008,893.0960083,1187.314575,298.1164856,8,4,1017.797729,365.3294678,0.219999999,0.202006176,188.5308228,1160.083862,1122.866089,17202.19727,819.2780762,1.533632755,33.77929688,554.079895,103.4432831,97.98176575,141.6008148,532.4074097,447.0486145,43.6944809,348.2377014,470.5584412,5,2.546296358,0.172000006,6.611690044,1,232.1558533,0,0.404343784,2.590535641,371.1776733,6.92427969,-330.8203125,184.6000061,8.410349846,267.9768372,2.472070217,9615.973633,304.479187,128,2.161015749,1347.143555
2021/6/12 0:01,65.5,82.41300201,78.76644135,23666.33398,892.7213745,1189.87561,299.7950439,8,4,1017.752625,365.2673645,0.219999999,0.229697943,188.4765625,1168.185791,1121.09375,17206.63477,819.4921875,1.540898442,33.77929688,554.12323,101.27314,97.98176575,141.6265869,526.6203613,450.3038025,43.5573082,347.7073059,462.9629517,5,2.314814806,0.172000006,6.589988708,1,232.1505432,0,0.404343784,2.593953371,371.0706177,6.910433769,-328.7695313,184.6000061,8.414871216,269.1731567,2.516367197,9608.689453,304.5862122,128,2.156132698,1348.043701
2021/6/12 0:02,65.5,82.41300201,78.77653503,23673.29688,892.9890137,1183.473267,300.7640991,8,4,1017.696045,365.2673645,0.219999999,0.201284111,188.4765625,1168.438843,1120.334229,17201.08789,819.2245483,1.540664077,33.77929688,554.340271,101.6348419,97.98900604,141.6008148,526.6203613,474.175354,43.41272354,347.1718445,464.7714233,5,2.083333492,0.172000006,6.546586037,1,232.1247864,0,0.404343784,2.57963109,373.2118225,6.922514439,-336.9726563,184.6000061,8.475111008,268.5750122,2.468437433,9675.865234,304.63974,128,2.153691292,1347.143555
2021/6/12 0:02,67.5,82.41300201,78.76139069,23671.9043,892.9354858,1185.481201,300.7381592,8,4,1017.628845,365.3294678,0.219999999,0.203933254,188.5217743,1169.704834,1116.536377,17201.08789,819.2245483,1.539609313,33.77929688,554.340271,101.9965286,97.98176575,141.6008148,522.6417847,429.3258057,43.71301651,346.7205505,462.9629517,5,2.314814806,0.172000006,6.618923664,1,232.0937042,0,0.404343784,2.504816532,373.1047363,6.659353733,-334.1015625,184.6000061,8.54100132,267.9768372,2.466913939,9655.942383,304.8538818,128,2.148808241,1348.268799
2021/6/12 0:02,67,82.41300201,78.37287903,23669.11719,892.8283691,1185.975952,300.8246765,8,4,1017.572571,365.3605347,0.219999999,0.174625695,188.5127258,1169.45166,1109.953735,17203.30859,819.331665,1.538085938,33.77929688,554.557312,99.46469879,97.98900604,141.6212921,511.4293823,447.7720032,43.5573082,346.3040771,451.3888855,5,2.314814806,0.172000006,6.618923664,1,232.1141815,0,0.404343784,2.500452042,373.1582642,6.672664642,-330.234375,184.6000061,8.535349846,267.9768372,2.44312501,9606.867188,304.3721008,128,2.1658988,1348.043701
2021/6/12 0:02,66.5,82.41300201,78.39811707,23669.11719,892.8283691,1183.298584,293.4355774,8,4,1017.527527,365.3605347,0.219999999,0.215090916,188.6031494,1170.464478,1115.017334,17203.30859,819.331665,1.535624981,33.77929688,554.513855,101.6348419,97.98900604,141.5644684,518.663208,463.324646,43.5573082,345.9173584,457.1759338,5,2.546296358,0.172000006,6.546586037,1,232.0884247,0,0.404343784,2.498498201,373.2118225,6.681152344,-334.7460938,184.6000061,8.418262482,267.9768372,2.511796713,9643.243164,304.4256287,128,2.156132698,1347.593628
2021/6/12 0:02,66,84.05799866,78.40315247,23676.08008,893.0960083,1192,302.9098816,8,4,1017.527222,365.3605347,0.239999995,0.199548751,188.5579376,1176.034424,1120.840576,17203.30859,819.331665,1.529765606,33.77929688,554.774292,101.6348419,97.97454071,141.5644684,526.6203613,472.3668823,43.41643143,345.500885,464.409729,5,2.314814806,0.189999998,6.597222328,1,232.0262756,0,0.404343784,2.464454889,373.2653198,6.682536602,-330.234375,184.6000061,8.348980904,267.9768372,2.505820274,9610.509766,304.4256287,128,2.156132698,1347.368774
2021/6/12 0:02,65.5,84.05799866,78.59488678,23673.29688,892.9890137,1184.171631,295.8236084,8,4,1017.414978,365.2673645,0.239999995,0.169701472,188.6121979,1178.31311,1121.853271,17207.74414,819.5457153,1.532929659,33.77929688,554.730896,103.4432831,97.98538971,141.5334015,530.2372437,462.6012573,43.56101608,345.089447,470.5584412,5,3.009259224,0.189999998,6.611690044,1,232.0262756,0,0.404343784,2.446849108,373.2118225,6.681249142,-335.2734375,184.6000061,8.221719742,268.5750122,2.504882813,9665.00293,304.6932983,128,2.156132698,1347.593628
2021/6/12 0:03,65.5,84.05799866,78.40315247,23674.68945,893.0426025,1191.505249,311.2853699,8,4,1017.403748,365.2362671,0.239999995,0.197325766,188.6302795,1185.149048,1119.574585,17208.85742,819.5993042,1.525546789,33.77929688,554.774292,101.6348419,97.98176575,141.5023346,524.4502563,449.9421387,43.56472397,344.7325134,466.5798645,5,3.472222328,0.189999998,6.618923664,1,231.9952393,0,0.404343784,2.436212778,371.124115,6.662262917,-334.8046875,184.6000061,8.159219742,268.5750122,2.439023495,9655.942383,304.3721008,128,2.148808241,1346.018555
2021/6/12 0:03,65,84.05799866,78.59488678,23671.9043,892.9354858,1189.497192,297.5281372,8,4,1017.358704,365.3916016,0.239999995,0.182916448,188.6574097,1187.93396,1119.068237,17199.97852,819.1710205,1.523554683,33.77929688,554.991333,101.6348419,97.99262238,141.4712677,520.833313,448.1336975,43.5573082,344.4299622,458.984375,5,2.083333492,0.189999998,6.561053753,1,231.9641571,0,0.404343784,1.829542875,373.372406,6.676417351,-335.859375,184.6000061,8.158089638,268.5750122,2.515781164,9674.056641,304.5326843,128,2.1658988,1347.593628
